Timestamp,engine_cooling,engine_oil_pressure,txn_oil_pressure
2024-01-01 01:13:00,"121.94 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:14:00,"118.05 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:15:00,"118.47 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:16:00,"128.48 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:17:00,"119.83 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:18:00,"119.92 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:19:00,"123.81 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:20:00,"123.84 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:21:00,"121.94 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:22:00,"118.05 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:23:00,"118.47 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:24:00,"128.48 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:25:00,"119.83 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:26:00,"119.92 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:27:00,"123.81 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:28:00,"123.84 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:29:00,"121.94 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:30:00,"118.05 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:31:00,"118.47 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:32:00,"128.48 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:33:00,"119.83 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.49 Pa
2024-01-01 01:34:00,"119.92 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.50 Pa
2024-01-01 01:35:00,"123.81 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.50 Pa
2024-01-01 01:36:00,"123.84 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.50 Pa
2024-01-01 01:37:00,"121.94 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.50 Pa
2024-01-01 01:38:00,"118.05 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.50 Pa
2024-01-01 01:39:00,"118.47 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.50 Pa
2024-01-01 01:40:00,"128.48 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.50 Pa
2024-01-01 01:41:00,"119.83 °C, TEMPERATURE EXCEEDED! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>","1.4 Pa, PRESSURE DROP! <a href="https://fabrikspace.com/viewer/4166?step=4ed61325-b700-4c83-94c8-09f10698b029" target=""_blank"">Click here to resolve.</a>",1.50 Pa
